,N,Gap,Inverse_Cost_Metric,Inverse_Compute_Time,Forward_Ops,Forward_Time
0,3,1.0638990667235895,0.8834849263698921,0.003000497817993164,27,0.0
1,3,3.627797640203956,0.07598255481659572,0.0019996166229248047,27,0.0
2,3,4.3131392347977835,0.05375427934281244,0.0020058155059814453,27,0.0
3,3,11.985908420819651,0.006960782916292664,0.00099945068359375,27,0.0
4,3,4.230837189248211,0.055865973840048176,0.0009984970092773438,27,0.0
5,4,6.400248736637631,0.02441216490068343,0.002001523971557617,36,0.0
6,4,3.4137765339719963,0.08580840362795213,0.0009992122650146484,36,0.0
7,4,3.314802188231778,0.09100908882408923,0.001999378204345703,36,0.0
8,4,3.6317786800858753,0.0758160668127973,0.0009996891021728516,36,0.0
9,4,6.525967960817313,0.023480650560882173,0.0020008087158203125,36,0.0
10,5,4.273962958584535,0.0547442477163342,0.0019986629486083984,45,0.0
11,5,2.9044180295116853,0.1185445935500483,0.0010008811950683594,45,0.0
12,5,12.686654661040487,0.006213063087982806,0.0018062591552734375,45,0.0
13,5,6.260394838792117,0.025515057450692685,0.002517223358154297,45,0.0
14,5,3.3772038679474456,0.0876769520799116,0.002001047134399414,45,0.0
15,6,5.660007848787962,0.031215186435792082,0.002000570297241211,54,0.0
16,6,11.335979025646605,0.007781833468010816,0.0019996166229248047,54,0.0
17,6,12.183218816367877,0.0067371452579641136,0.013998031616210938,54,0.0
18,6,8.155320314100216,0.01503550271032614,0.0019991397857666016,54,0.0
19,6,2.627464887230322,0.1448525543855599,0.001998424530029297,54,0.0
20,7,11.05480247322333,0.00818272631939812,0.0019979476928710938,63,0.0
21,7,2.910590732603424,0.11804231430962567,0.001001119613647461,63,0.0
22,7,7.155093228175707,0.0195330205218562,0.0019989013671875,63,0.0
23,7,3.0538324758989885,0.10722833968031092,0.0019996166229248047,63,0.0
24,7,2.5256096628445985,0.15677165353606687,0.0009999275207519531,63,0.0
25,8,3.60123151925254,0.07710772944069541,0.0019998550415039062,72,0.0
26,8,5.0083869714667255,0.03986614534116987,0.006002902984619141,72,0.0
27,8,2.2697375867383593,0.19411035362770934,0.0009996891021728516,72,0.0
28,8,0.6806353891613766,2.158593910847986,0.002000093460083008,72,0.0
29,8,1.222915506853023,0.6686626975239925,0.0019996166229248047,72,0.0
30,9,2.421658414681934,0.17051957123088843,0.002004384994506836,81,0.0
31,9,1.3013861613744213,0.590456124285673,0.0020008087158203125,81,0.0
32,9,10.344932244068044,0.009344255373196973,0.0009996891021728516,81,0.0
33,9,5.3636660753773535,0.03475974129780882,0.0019986629486083984,81,0.0
34,9,1.3805303958905688,0.524696362759618,0.0020017623901367188,81,0.0
35,10,0.739889971642893,1.8266936454980318,0.0019989013671875,90,0.0
36,10,1.0425871049118705,0.9199734664728144,0.002001047134399414,90,0.0
37,10,5.6115164495128855,0.03175700367672515,0.0009996891021728516,90,0.0009996891021728516
38,10,4.0380072607090876,0.06132898949694149,0.0010006427764892578,90,0.0
39,10,2.744435939817418,0.13276811948458409,0.0019998550415039062,90,0.0
40,11,6.124985119789854,0.026655689698941058,0.001999378204345703,99,0.0
41,11,4.786400908033688,0.04364975953660081,0.0010008811950683594,99,0.0
42,11,2.8488264566682036,0.12321625707875739,0.0020008087158203125,99,0.0
43,11,1.3788695440670722,0.5259611201722519,0.0020003318786621094,99,0.0
44,11,4.014422481156947,0.062051723391033,0.002001523971557617,99,0.0
